"FOI","Modelo","n_cov","WAIC","DIC","R2"
"constante","29_all_elev",4,-5839.15,-5845.08,0.9833
"constante","16_elev_prec_hum_dens",4,-5839.14,-5845.07,0.9833
"constante","22_elev_prec_inter",3,-5740.67,-5744.96,0.9822
"constante","15_elev_prec_hum",3,-5660.64,-5663.66,0.9812
"constante","10_prec_elev",2,-5653.7,-5656.52,0.9811
"constante","30_all_temp_inter",6,-5648.02,-5653.14,0.9812
"constante","27_dens_inter_dt",5,-5497.91,-5502.02,0.9792
"constante","17_climate_dens",4,-5489.6,-5492.05,0.9791
"constante","28_all_temp",4,-5489.58,-5492.03,0.9791
"constante","25_climate_inter_tp",4,-5079.39,-5078.53,0.9727
"constante","14_climate_full",3,-5069.72,-5067.74,0.9725
"constante","19_temp_prec_inter",3,-5068.95,-5067.94,0.9725
"constante","06_temp_prec",2,-5061.43,-5059.3,0.9723
"constante","08_prec_hum",2,-4073.8,-4074.76,0.9481
"constante","13_elev_dens",2,-3896.37,-3897.41,0.9409
"constante","23_dens_temp_inter",3,-3831.79,-3829.11,0.9393
"constante","04_elevation",1,-3780.87,-3782.95,0.9363
"constante","07_temp_hum",2,-3721.06,-3719.84,0.9349
"constante","20_temp_hum_inter",3,-3718.95,-3717.98,0.9349
"constante","11_temp_dens",2,-3670.58,-3668.01,0.9326
"constante","01_temp",1,-3666.75,-3664.96,0.9324
"constante","24_dens_prec_inter",3,-3562.8,-3573.35,0.9286
"constante","12_prec_dens",2,-3380.45,-3381.95,0.9192
"constante","02_prec",1,-3371.71,-3373.03,0.9187
"constante","03_hum",1,-2256.75,-2254.03,0.8337
"constante","05_pop_density",1,-2184.86,-2181.78,0.8228
"constante","00_baseline",0,-1917.81,-1914.12,0.7894
"variante","27_dens_inter_dt",5,328.47,324.14,0.5898
"variante","30_all_temp_inter",6,329.1,324.64,0.59
"variante","29_all_elev",4,332.58,328.37,0.5883
"variante","16_elev_prec_hum_dens",4,332.6,328.38,0.5883
"variante","17_climate_dens",4,336.77,332.4,0.5874
"variante","28_all_temp",4,336.77,332.4,0.5874
"variante","24_dens_prec_inter",3,350.59,346.81,0.5832
"variante","12_prec_dens",2,350.65,346.7,0.5828
"variante","22_elev_prec_inter",3,354.96,350.52,0.5821
"variante","13_elev_dens",2,355.47,351.54,0.5815
"variante","23_dens_temp_inter",3,356.89,353.17,0.5815
"variante","10_prec_elev",2,359.92,356.11,0.5798
"variante","08_prec_hum",2,362.93,359.12,0.58
"variante","15_elev_prec_hum",3,363.83,359.97,0.579
"variante","04_elevation",1,365.3,361.53,0.5783
"variante","25_climate_inter_tp",4,365.55,361.48,0.5793
"variante","19_temp_prec_inter",3,366.62,362.61,0.5784
"variante","11_temp_dens",2,367.7,363.8,0.5781
"variante","14_climate_full",3,370.62,366.72,0.5774
"variante","06_temp_prec",2,371.6,367.81,0.5766
"variante","02_prec",1,374.8,371.14,0.5756
"variante","20_temp_hum_inter",3,374.97,371.37,0.5763
"variante","03_hum",1,379.6,376.11,0.5752
"variante","07_temp_hum",2,380.15,376.43,0.5745
"variante","01_temp",1,380.16,376.49,0.5741
"variante","05_pop_density",1,396.24,393,0.5698
"variante","00_baseline",0,396.93,393.68,0.5691
